parcel_id,survey_no,cadastral_id,spatial_similarity,area_similarity,owner_similarity,identifier_similarity,confidence,status
P0027,SRV-1027,P0027,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0028,SRV-1028,P0028,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0029,SRV-1029,P0029,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0030,SRV-1030,P0030,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0031,SRV-1031,P0031,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0032,SRV-1032,P0032,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0033,SRV-1033,P0033,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0034,SRV-1034,P0034,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0035,SRV-1035,P0035,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0036,SRV-1036,P0036,100.0,100.0,33.33,100.0,86.67,LIKELY MATCH
P0037,SRV-1037,P0037,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0038,SRV-1038,P0038,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0039,SRV-1039,P0039,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0040,SRV-1040,P0040,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0041,SRV-1041,P0041,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0042,SRV-1042,P0042,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0043,SRV-1043,P0043,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0044,SRV-1044,P0044,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0045,SRV-1045,P0045,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0046,SRV-1046,P0046,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0047,SRV-1047,P0047,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0048,SRV-1048,P0048,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0049,SRV-1049,P0049,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0050,SRV-1050,P0050,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0051,SRV-1051,P0051,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0052,SRV-1052,P0052,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0053,SRV-1053,P0053,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0054,SRV-1054,P0054,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0055,SRV-1055,P0055,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0056,SRV-1056,P0056,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0057,SRV-1057,P0057,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0058,SRV-1058,P0058,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0059,SRV-1059,P0059,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0060,SRV-1060,P0060,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0061,SRV-1061,P0061,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0062,SRV-1062,P0062,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0063,SRV-1063,P0063,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0064,SRV-1064,P0064,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0065,SRV-1065,P0065,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0066,SRV-1066,P0066,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0067,SRV-1067,P0067,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0068,SRV-1068,P0068,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0069,SRV-1069,P0069,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0070,SRV-1070,P0070,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0071,SRV-1071,P0071,100.0,97.0,100.0,100.0,99.25,HIGH CONFIDENCE
P0072,SRV-1072,P0072,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0073,SRV-1073,P0073,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0074,SRV-1074,P0074,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0075,SRV-1075,P0075,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0076,SRV-1076,P0076,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0077,SRV-1077,P0077,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0078,SRV-1078,P0078,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0079,SRV-1079,P0079,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0080,SRV-1080,P0080,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0081,SRV-1081,P0081,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0082,SRV-1082,P0082,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0083,SRV-1083,P0083,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0084,SRV-1084,P0084,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0085,SRV-1085,P0085,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0086,SRV-1086,P0086,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0087,SRV-1087,P0087,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0088,SRV-1088,P0088,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0089,SRV-1089,P0089,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0090,SRV-1090,P0090,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0091,SRV-1091,P0091,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0092,SRV-1092,P0092,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0093,SRV-1093,P0093,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0094,SRV-1094,P0094,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0095,SRV-1095,P0095,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0096,SRV-1096,P0096,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0097,SRV-1097,P0097,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0098,SRV-1098,P0098,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0099,SRV-1099,P0099,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0100,SRV-1100,P0100,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0101,SRV-1101,P0101,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0102,SRV-1102,P0102,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0103,SRV-1103,P0103,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0104,SRV-1104,P0104,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0105,SRV-1105,P0105,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0106,SRV-1106,P0106,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0107,SRV-1107,P0107,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0108,SRV-1108,P0108,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0109,SRV-1109,P0109,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0110,SRV-1110,P0110,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0111,SRV-1111,P0111,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0112,SRV-1112,P0112,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0113,SRV-1113,P0113,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0114,SRV-1114,P0114,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0115,SRV-1115,P0115,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0116,SRV-1116,P0116,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0117,SRV-1117,P0117,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0118,SRV-1118,P0118,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0119,SRV-1119,P0119,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0120,SRV-1120,P0120,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0121,SRV-1121,P0121,100.0,97.0,100.0,100.0,99.25,HIGH CONFIDENCE
P0122,SRV-1122,P0122,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0123,SRV-1123,P0123,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0124,SRV-1124,P0124,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0125,SRV-1125,P0125,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0126,SRV-1126,P0126,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0127,SRV-1127,P0127,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0128,SRV-1128,P0128,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0129,SRV-1129,P0129,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0130,SRV-1130,P0130,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0131,SRV-1131,P0131,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0132,SRV-1132,P0132,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0133,SRV-1133,P0133,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0134,SRV-1134,P0134,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0135,SRV-1135,P0135,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0136,SRV-1136,P0136,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0137,SRV-1137,P0137,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0138,SRV-1138,P0138,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0139,SRV-1139,P0139,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0140,SRV-1140,P0140,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0141,SRV-1141,P0141,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0142,SRV-1142,P0142,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0143,SRV-1143,P0143,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0144,SRV-1144,P0144,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0145,SRV-1145,P0145,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0146,SRV-1146,P0146,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0147,SRV-1147,P0147,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0148,SRV-1148,P0148,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0149,SRV-1149,P0149,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0150,SRV-1150,P0150,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0151,SRV-1151,P0151,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0152,SRV-1152,P0152,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0153,SRV-1153,P0153,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0154,SRV-1154,P0154,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0155,SRV-1155,P0155,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0156,SRV-1156,P0156,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0157,SRV-1157,P0157,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0158,SRV-1158,P0158,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0159,SRV-1159,P0159,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0160,SRV-1160,P0160,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0161,SRV-1161,P0161,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0162,SRV-1162,P0162,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0163,SRV-1163,P0163,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0164,SRV-1164,P0164,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0165,SRV-1165,P0165,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0166,SRV-1166,P0166,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0167,SRV-1167,P0167,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0168,SRV-1168,P0168,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0169,SRV-1169,P0169,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0170,SRV-1170,P0170,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0171,SRV-1171,P0171,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0172,SRV-1172,P0172,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0173,SRV-1173,P0173,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0174,SRV-1174,P0174,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0175,SRV-1175,P0175,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0176,SRV-1176,P0176,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0177,SRV-1177,P0177,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0178,SRV-1178,P0178,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0179,SRV-1179,P0179,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0180,SRV-1180,P0180,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0181,SRV-1181,P0181,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0182,SRV-1182,P0182,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0183,SRV-1183,P0183,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0184,SRV-1184,P0184,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0185,SRV-1185,P0185,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0186,SRV-1186,P0186,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0187,SRV-1187,P0187,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0188,SRV-1188,P0188,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0189,SRV-1189,P0189,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0190,SRV-1190,P0190,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0191,SRV-1191,P0191,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0192,SRV-1192,P0192,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0193,SRV-1193,P0193,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0194,SRV-1194,P0194,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0195,SRV-1195,P0195,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0196,SRV-1196,P0196,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0197,SRV-1197,P0197,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0198,SRV-1198,P0198,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0199,SRV-1199,P0199,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0200,SRV-1200,P0200,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0201,SRV-1201,P0201,100.0,97.0,100.0,100.0,99.25,HIGH CONFIDENCE
P0202,SRV-1202,P0202,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0203,SRV-1203,P0203,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0204,SRV-1204,P0204,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0205,SRV-1205,P0205,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0206,SRV-1206,P0206,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0207,SRV-1207,P0207,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0208,SRV-1208,P0208,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0209,SRV-1209,P0209,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0210,SRV-1210,P0210,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0211,SRV-1211,P0211,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0212,SRV-1212,P0212,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0213,SRV-1213,P0213,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0214,SRV-1214,P0214,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0215,SRV-1215,P0215,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0216,SRV-1216,P0216,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0217,SRV-1217,P0217,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0218,SRV-1218,P0218,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0219,SRV-1219,P0219,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0220,SRV-1220,P0220,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0221,SRV-1221,P0221,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0222,SRV-1222,P0222,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0223,SRV-1223,P0223,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0224,SRV-1224,P0224,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0225,SRV-1225,P0225,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0226,SRV-1226,P0226,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0227,SRV-1227,P0227,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0228,SRV-1228,P0228,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0229,SRV-1229,P0229,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0230,SRV-1230,P0230,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0231,SRV-1231,P0231,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0232,SRV-1232,P0232,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0233,SRV-1233,P0233,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0234,SRV-1234,P0234,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0235,SRV-1235,P0235,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0236,SRV-1236,P0236,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0237,SRV-1237,P0237,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0238,SRV-1238,P0238,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0239,SRV-1239,P0239,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0240,SRV-1240,P0240,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0241,SRV-1241,P0241,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0242,SRV-1242,P0242,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0243,SRV-1243,P0243,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0244,SRV-1244,P0244,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0245,SRV-1245,P0245,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0246,SRV-1246,P0246,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0247,SRV-1247,P0247,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0248,SRV-1248,P0248,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0249,SRV-1249,P0249,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0250,SRV-1250,P0250,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0251,SRV-1251,P0251,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0252,SRV-1252,P0252,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0253,SRV-1253,P0253,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0254,SRV-1254,P0254,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0255,SRV-1255,P0255,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0256,SRV-1256,P0256,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0257,SRV-1257,P0257,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0258,SRV-1258,P0258,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0259,SRV-1259,P0259,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0260,SRV-1260,P0260,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0261,SRV-1261,P0261,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0262,SRV-1262,P0262,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0263,SRV-1263,P0263,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0264,SRV-1264,P0264,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0265,SRV-1265,P0265,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0266,SRV-1266,P0266,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0267,SRV-1267,P0267,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0268,SRV-1268,P0268,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0269,SRV-1269,P0269,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0270,SRV-1270,P0270,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0271,SRV-1271,P0271,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0272,SRV-1272,P0272,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0273,SRV-1273,P0273,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0274,SRV-1274,P0274,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0275,SRV-1275,P0275,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0276,SRV-1276,P0276,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0277,SRV-1277,P0277,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0278,SRV-1278,P0278,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0279,SRV-1279,P0279,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0280,SRV-1280,P0280,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0281,SRV-1281,P0281,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0282,SRV-1282,P0282,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0283,SRV-1283,P0283,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0284,SRV-1284,P0284,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0285,SRV-1285,P0285,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0286,SRV-1286,P0286,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0287,SRV-1287,P0287,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0288,SRV-1288,P0288,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0289,SRV-1289,P0289,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
