parcel_id,municipal_plot_id,spatial_similarity,area_similarity,owner_similarity,identifier_similarity,confidence,status
P0027,M-8026,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0028,M-8027,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0029,M-8028,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0030,M-8029,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0031,M-8030,100.0,97.09,100.0,0.0,84.27,LIKELY MATCH
P0032,M-8031,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0033,M-8032,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0034,M-8033,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0035,M-8034,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0036,M-8035,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0037,M-8036,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0038,M-8037,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0039,M-8038,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0040,M-8039,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0041,M-8040,82.23,100.0,100.0,0.0,77.89,LIKELY MATCH
P0042,M-8041,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0043,M-8042,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0044,M-8043,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0045,M-8044,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0046,M-8045,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0047,M-8046,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0048,M-8047,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0049,M-8048,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0050,M-8049,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0051,M-8050,100.0,96.0,100.0,0.0,84.0,LIKELY MATCH
P0052,M-8051,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0053,M-8052,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0054,M-8053,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0055,M-8054,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0056,M-8055,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0057,M-8056,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0058,M-8057,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0059,M-8058,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0060,M-8059,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0061,M-8060,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0062,M-8061,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0063,M-8062,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0064,M-8063,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0065,M-8064,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0066,M-8065,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0067,M-8066,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0068,M-8067,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0069,M-8068,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0070,M-8069,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0071,M-8070,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0072,M-8071,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0073,M-8072,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0074,M-8073,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0075,M-8074,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0076,M-8075,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0077,M-8076,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0078,M-8077,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0079,M-8078,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0080,M-8079,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0081,M-8080,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0082,M-8081,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0083,M-8082,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0084,M-8083,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0085,M-8084,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0086,M-8085,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0087,M-8086,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0088,M-8087,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0089,M-8088,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0090,M-8089,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0091,M-8090,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0092,M-8091,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0093,M-8092,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0094,M-8093,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0095,M-8094,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0096,M-8095,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0097,M-8096,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0098,M-8097,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0099,M-8098,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0100,M-8099,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0101,M-8100,100.0,96.15,100.0,0.0,84.04,LIKELY MATCH
P0102,M-8101,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0103,M-8102,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0104,M-8103,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0105,M-8104,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0106,M-8105,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0107,M-8106,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0108,M-8107,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0109,M-8108,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0110,M-8109,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0111,M-8110,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0112,M-8111,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0113,M-8112,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0114,M-8113,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0115,M-8114,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0116,M-8115,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0117,M-8116,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0118,M-8117,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0119,M-8118,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0120,M-8119,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0121,M-8120,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0122,M-8121,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0123,M-8122,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0124,M-8123,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0125,M-8124,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0126,M-8125,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0127,M-8126,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0128,M-8127,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0129,M-8128,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0130,M-8129,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0131,M-8130,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0132,M-8131,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0133,M-8132,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0134,M-8133,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0135,M-8134,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0136,M-8135,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0137,M-8136,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0138,M-8137,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0139,M-8138,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0140,M-8139,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0141,M-8140,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0142,M-8141,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0143,M-8142,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0144,M-8143,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0145,M-8144,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0146,M-8145,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0147,M-8146,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0148,M-8147,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0149,M-8148,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0150,M-8149,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0151,M-8150,100.0,95.0,100.0,0.0,83.75,LIKELY MATCH
P0152,M-8151,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0153,M-8152,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0154,M-8153,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0155,M-8154,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0156,M-8155,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0157,M-8156,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0158,M-8157,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0159,M-8158,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0160,M-8159,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0161,M-8160,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0162,M-8161,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0163,M-8162,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0164,M-8163,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0165,M-8164,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0166,M-8165,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0167,M-8166,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0168,M-8167,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0169,M-8168,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0170,M-8169,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0171,M-8170,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0172,M-8171,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0173,M-8172,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0174,M-8173,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0175,M-8174,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0176,M-8175,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0177,M-8176,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0178,M-8177,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0179,M-8178,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0180,M-8179,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0181,M-8180,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0182,M-8181,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0183,M-8182,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0184,M-8183,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0185,M-8184,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0186,M-8185,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0187,M-8186,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0188,M-8187,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0189,M-8188,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0190,M-8189,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0191,M-8190,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0192,M-8191,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0193,M-8192,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0194,M-8193,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0195,M-8194,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0196,M-8195,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0197,M-8196,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0198,M-8197,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0199,M-8198,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0200,M-8199,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0201,M-8200,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0202,M-8201,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0203,M-8202,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0204,M-8203,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0205,M-8204,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0206,M-8205,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0207,M-8206,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0208,M-8207,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0209,M-8208,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0210,M-8209,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0211,M-8210,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0212,M-8211,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0213,M-8212,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0214,M-8213,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0215,M-8214,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0216,M-8215,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0217,M-8216,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0218,M-8217,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0219,M-8218,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0220,M-8219,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0221,M-8220,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0222,M-8221,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0223,M-8222,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0224,M-8223,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0225,M-8224,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0226,M-8225,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0227,M-8226,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0228,M-8227,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0229,M-8228,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0230,M-8229,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0231,M-8230,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0232,M-8231,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0233,M-8232,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0234,M-8233,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0235,M-8234,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0236,M-8235,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0237,M-8236,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0238,M-8237,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0239,M-8238,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0240,M-8239,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0241,M-8240,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0242,M-8241,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0243,M-8242,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0244,M-8243,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0245,M-8244,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0246,M-8245,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0247,M-8246,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0248,M-8247,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0249,M-8248,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0250,M-8249,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0251,M-8250,100.0,98.04,100.0,0.0,84.51,LIKELY MATCH
P0252,M-8251,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0253,M-8252,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0254,M-8253,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0255,M-8254,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0256,M-8255,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0257,M-8256,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0258,M-8257,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0259,M-8258,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0260,M-8259,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0261,M-8260,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0262,M-8261,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0263,M-8262,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0264,M-8263,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0265,M-8264,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0266,M-8265,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0267,M-8266,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0268,M-8267,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0269,M-8268,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0270,M-8269,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0271,M-8270,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0272,M-8271,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0273,M-8272,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0274,M-8273,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0275,M-8274,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0276,M-8275,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0277,M-8276,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0278,M-8277,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0279,M-8278,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0280,M-8279,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0281,M-8280,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0282,M-8281,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0283,M-8282,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0284,M-8283,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0285,M-8284,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0286,M-8285,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0287,M-8286,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0288,M-8287,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0289,M-8288,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0290,M-8289,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0291,M-8290,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0292,M-8291,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0293,M-8292,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0294,M-8293,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0295,M-8294,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0296,M-8295,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0297,M-8296,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0298,M-8297,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0299,M-8298,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0300,M-8299,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0301,M-8300,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0302,M-8301,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0303,M-8302,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0304,M-8303,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0305,M-8304,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0306,M-8305,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0307,M-8306,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0308,M-8307,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0309,M-8308,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0310,M-8309,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0311,M-8310,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0312,M-8311,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0313,M-8312,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0314,M-8313,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0315,M-8314,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0316,M-8315,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0317,M-8316,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0318,M-8317,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0319,M-8318,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0320,M-8319,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0321,M-8320,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0322,M-8321,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0323,M-8322,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0324,M-8323,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0325,M-8324,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0326,M-8325,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0327,M-8326,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0328,M-8327,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0329,M-8328,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0330,M-8329,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0331,M-8330,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0332,M-8331,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0333,M-8332,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0334,M-8333,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0335,M-8334,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0336,M-8335,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0337,M-8336,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0338,M-8337,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0339,M-8338,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0340,M-8339,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0341,M-8340,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0342,M-8341,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0343,M-8342,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0344,M-8343,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0345,M-8344,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0346,M-8345,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0347,M-8346,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0348,M-8347,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0349,M-8348,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0350,M-8349,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0351,M-8350,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0352,M-8351,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0353,M-8352,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0354,M-8353,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0355,M-8354,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0356,M-8355,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
